α_v,α_s,decay,MSE
0.07,0.01,0.9,1.1157630168733025e7
0.34,0.58,0.59,1.1204858154746458e7
0.33,0.42,0.93,1.114276479906682e7
0.69,0.9,0.04,1.120709900890435e7
0.84,0.9,0.53,1.1142800711896576e7
0.28,0.41,0.12,1.1116855214575158e7
0.95,0.24,0.96,1.1225796862617165e7
0.34,0.84,0.77,1.1271763834434696e7
0.2,0.68,0.42,1.127167737999096e7
0.02,0.4,0.61,1.1279149639669396e7
0.16,0.05,0.17,1.1109565382849934e7
0.68,0.7,0.3,1.1064492013995644e7
0.79,0.31,0.35,1.1136778250663597e7
0.36,0.99,0.59,1.127844500888671e7
0.92,0.13,0.13,1.1190343587710928e7
0.2,0.15,0.2,1.0995307987376414e7
0.29,0.44,0.02,1.1125082676320555e7
0.05,0.3,0.26,1.1268260486130662e7
0.84,0.78,0.45,1.1065353962921057e7
0.74,0.08,0.31,1.1211955951343387e7
0.57,0.1,0.05,1.112335317407032e7
0.58,0.51,0.29,1.1022129687026616e7
0.22,0.41,0.39,1.119176676589483e7
0.18,0.37,0.85,1.1223746890897606e7
0.41,0.47,0.86,1.1116634650429174e7
0.33,0.48,0.49,1.1152990141331509e7
0.16,0.35,0.89,1.123079205600166e7
0.07,0.31,0.6,1.126614257823291e7
0.6,0.78,0.16,1.1159455033447111e7
0.22,0.15,0.53,1.103696488987917e7
0.67,0.2,0.32,1.113940544334686e7
0.04,0.13,0.93,1.1250836661194276e7
0.89,0.81,0.33,1.1061899839770846e7
0.44,0.74,0.96,1.1232920717451293e7
0.49,0.43,0.47,1.1038011306863967e7
0.15,0.16,0.54,1.1072700104920756e7
0.53,0.93,0.94,1.1263930964211574e7
0.49,0.41,0.91,1.1071276637305219e7
0.35,0.72,0.2,1.123473391434027e7
0.42,0.48,0.59,1.109862082268162e7
0.45,0.29,0.09,1.0988809097662859e7
0.12,0.66,0.62,1.1278960551435519e7
0.93,0.56,0.55,1.1164908762829814e7
0.03,0.86,0.39,1.1269574699980311e7
0.87,1.0,0.07,1.1260406768443342e7
0.98,0.81,0.9,1.1194061540304989e7
0.09,0.14,0.87,1.1172544262118064e7
0.84,0.57,0.27,1.1076885436145753e7
0.85,0.11,0.62,1.1224813640453594e7
0.68,0.72,0.74,1.1106548552430294e7
0.47,0.07,0.65,1.1175837294410393e7
0.7,0.7,0.69,1.1086980901761258e7
0.9,0.22,0.84,1.1216577833941529e7
0.16,0.93,1.0,1.1276015654735064e7
0.04,0.52,0.72,1.1278899705130547e7
0.39,0.29,0.79,1.105750291578352e7
