,stim_color,stimPosit,correction,respPosit,RT,congruency,nblock,hand,trial_index,postError,error_outlier,block1,block2,block3,block4,block5,block6,P,Q_ll,Q_lr,Q_rl,Q_rr,PE_ll,PE_lr,PE_rl,PE_rr
141,green,0,1,1,474.5,1,1,1,142,0,0,1,0,0,0,0,0,0.49967457364711504,0.5003254263528846,0.49967457364711504,0.4995624382596789,0.5004375617403213,-0.5003254263528846,0.5003254263528849,0.0,0.0
142,red,1,1,0,431.4,1,1,0,143,0,0,1,0,0,0,0,0,0.4995624382596789,0.5002130094386692,0.49978699056133036,0.4995624382596789,0.5004375617403213,0.0,0.0,0.5004375617403212,-0.5004375617403213
143,green,0,1,1,436.5,1,1,1,144,0,0,1,0,0,0,0,0,0.49978699056133036,0.5002130094386692,0.49978699056133036,0.49967488036932417,0.500325119630676,-0.5002130094386692,0.5002130094386696,0.0,0.0
144,green,1,1,1,529.1,0,1,1,145,0,0,1,0,0,0,0,0,0.500325119630676,0.5001006177831394,0.49989938221686014,0.49967488036932417,0.500325119630676,0.0,0.0,-0.49967488036932417,0.49967488036932395
145,red,0,1,0,462.4,0,1,0,146,0,0,1,0,0,0,0,0,0.5001006177831394,0.5001006177831394,0.49989938221686014,0.499562609624718,0.5004373903752822,0.4998993822168606,-0.49989938221686014,0.0,0.0
146,red,0,1,0,517.1,0,1,0,147,0,0,1,0,0,0,0,0,0.5002129389705247,0.5002129389705247,0.49978706102947495,0.499562609624718,0.5004373903752822,0.49978706102947534,-0.49978706102947495,0.0,0.0
147,red,1,1,0,560.4,1,1,0,148,0,0,1,0,0,0,0,0,0.499562609624718,0.500325234920733,0.4996747650792666,0.499562609624718,0.5004373903752822,0.0,0.0,0.500437390375282,-0.5004373903752822
148,red,1,1,0,661.4,1,1,0,149,0,0,1,0,0,0,0,0,0.4996750516958597,0.500325234920733,0.4996747650792666,0.4996750516958597,0.5003249483041405,0.0,0.0,0.5003249483041403,-0.5003249483041405
149,red,1,1,0,396.3,1,1,0,150,0,0,1,0,0,0,0,0,0.49978746850266337,0.500325234920733,0.4996747650792666,0.49978746850266337,0.5002125314973368,0.0,0.0,0.5002125314973367,-0.5002125314973368
150,green,1,1,1,521.3,0,1,1,151,0,0,1,0,0,0,0,0,0.5001001399491944,0.500325234920733,0.4996747650792666,0.49989986005080567,0.5001001399491944,0.0,0.0,-0.49989986005080567,0.49989986005080556
151,red,1,1,0,496.3,1,1,0,152,0,0,1,0,0,0,0,0,0.4997875387560571,0.500325234920733,0.4996747650792666,0.4997875387560571,0.500212461243943,0.0,0.0,0.5002124612439429,-0.500212461243943
152,green,0,1,1,461.3,1,1,1,153,0,0,1,0,0,0,0,0,0.4996747650792666,0.500325234920733,0.4996747650792666,0.49989993028841434,0.5001000697115858,-0.500325234920733,0.5003252349207334,0.0,0.0
153,green,0,1,1,494.0,1,1,1,154,0,0,1,0,0,0,0,0,0.4997871819504695,0.5002128180495301,0.4997871819504695,0.49989993028841434,0.5001000697115858,-0.5002128180495301,0.5002128180495304,0.0,0.0
154,green,0,1,1,443.3,1,1,1,155,0,0,1,0,0,0,0,0,0.4998995735629965,0.500100426437003,0.4998995735629965,0.49989993028841434,0.5001000697115858,-0.500100426437003,0.5001004264370035,0.0,0.0
155,green,1,1,1,586.3,0,1,1,156,0,0,1,0,0,0,0,0,0.5001000697115858,0.49998806007747654,0.500011939922523,0.49989993028841434,0.5001000697115858,0.0,0.0,-0.49989993028841434,0.4998999302884142
156,red,1,1,0,545.0,1,1,0,157,0,0,1,0,0,0,0,0,0.49978760897788427,0.49998806007747654,0.500011939922523,0.49978760897788427,0.5002123910221159,0.0,0.0,0.5002123910221157,-0.5002123910221159
157,red,1,1,0,559.9,1,1,0,158,0,0,1,0,0,0,0,0,0.49990000049446354,0.49998806007747654,0.500011939922523,0.49990000049446354,0.5000999995055366,0.0,0.0,0.5000999995055364,-0.5000999995055366
158,red,0,1,0,501.2,0,1,0,159,0,0,1,0,0,0,0,0,0.49998806007747654,0.49998806007747654,0.500011939922523,0.5000123667580638,0.49998763324193635,0.5000119399225235,-0.500011939922523,0.0,0.0
159,green,0,1,1,547.9,1,1,1,160,0,0,1,0,0,0,0,0,0.4998995934448182,0.5001004065551814,0.4998995934448182,0.5000123667580638,0.49998763324193635,-0.5001004065551814,0.5001004065551817,0.0,0.0
160,green,0,1,1,804.2,1,2,1,161,0,0,0,1,0,0,0,0,0.5000119597998776,0.4999880402001221,0.5000119597998776,0.5000123667580638,0.49998763324193635,-0.4999880402001221,0.49998804020012244,0.0,0.0
161,green,0,1,1,433.2,1,2,1,162,0,0,0,1,0,0,0,0,0.5001243009076114,0.4998756990923883,0.5001243009076114,0.5000123667580638,0.49998763324193635,-0.4998756990923883,0.4998756990923886,0.0,0.0
162,green,0,1,1,374.3,1,2,1,163,0,0,0,1,0,0,0,0,0.5002366167736925,0.49976338322630726,0.5002366167736925,0.5000123667580638,0.49998763324193635,-0.49976338322630726,0.49976338322630753,0.0,0.0
163,red,0,1,0,451.3,0,2,0,164,0,0,0,1,0,0,0,0,0.49965109259620744,0.49965109259620744,0.5003489074037922,0.5000123667580638,0.49998763324193635,0.5003489074037926,-0.5003489074037922,0.0,0.0
164,red,0,1,0,384.2,0,2,0,165,0,0,0,1,0,0,0,0,0.4997635147863235,0.4997635147863235,0.5002364852136761,0.5000123667580638,0.49998763324193635,0.5002364852136765,-0.5002364852136761,0.0,0.0
165,red,1,1,0,407.7,1,2,0,166,0,0,0,1,0,0,0,0,0.5000123667580638,0.49987591171656864,0.500124088283431,0.5000123667580638,0.49998763324193635,0.0,0.0,0.4999876332419362,-0.49998763324193635
166,red,1,1,0,454.2,1,2,0,167,0,0,0,1,0,0,0,0,0.5001247077743591,0.49987591171656864,0.500124088283431,0.5001247077743591,0.499875292225641,0.0,0.0,0.49987529222564087,-0.499875292225641
