α_v,α_s,α_v_error,α_s_error,α_v_CCC,α_s_CCC,CCC,decay,MSE
0.71,0.52,0.58,0.4,0.81,0.11,0.46,0.45,9.587313805753734e6
0.21,0.91,0.1,0.48,0.79,0.59,0.85,0.04,9.407350072066264e6
0.02,0.26,0.02,0.21,0.47,0.97,0.88,0.3,9.544162310783394e6
0.19,0.89,0.11,0.56,0.76,0.5,0.3,0.26,9.510000761217766e6
0.01,0.05,0.81,0.67,0.99,0.33,0.5,0.73,9.734547856149461e6
0.73,0.51,0.31,0.07,0.95,0.83,0.75,0.08,9.566259762020592e6
0.56,0.14,0.01,0.49,0.77,0.12,0.01,0.31,9.564808016385425e6
0.87,0.4,0.8,0.4,0.81,0.95,0.56,0.26,9.57050162915342e6
0.33,0.65,0.6,0.73,0.03,0.85,0.55,0.87,9.453790764236804e6
0.41,0.41,0.3,0.75,0.53,0.04,0.29,0.11,9.56548349395641e6
0.46,0.55,0.63,0.39,0.34,0.08,0.17,0.11,9.508530392782262e6
0.74,0.98,0.18,0.54,0.48,0.75,0.37,0.77,9.433077071020486e6
0.66,0.54,0.23,0.53,0.97,0.88,0.44,0.57,9.58309509161644e6
0.33,0.92,0.59,0.68,0.1,0.49,0.27,0.8,9.490623273093281e6
0.06,0.9,0.48,0.17,0.45,0.13,0.5,0.4,9.596554133340202e6
0.85,0.44,1.0,0.98,0.21,0.65,0.53,0.32,9.56986464249279e6
0.57,0.38,0.19,0.23,0.15,0.39,0.77,0.19,9.374837717433719e6
0.62,0.26,0.67,0.87,0.76,0.33,0.41,0.98,9.566106407847766e6
0.7,0.19,0.73,0.46,0.28,0.49,0.01,0.67,9.47511084243229e6
0.31,0.66,0.98,0.33,0.85,0.73,0.8,0.69,9.560293050469505e6
0.63,0.37,0.14,0.04,0.18,0.06,0.32,0.79,9.372502003378255e6
0.96,0.22,0.95,0.12,0.1,0.63,0.76,0.76,9.493817588903768e6
0.77,0.33,0.62,0.15,0.57,0.06,0.01,0.07,9.580263010036215e6
0.33,0.78,0.36,0.37,0.45,0.16,0.29,0.11,9.472648753801292e6
0.44,0.13,0.11,0.25,0.95,0.91,0.3,0.36,9.561594151010282e6
0.92,0.84,0.63,0.37,0.11,0.31,0.86,0.68,9.420409575010657e6
0.04,0.99,0.95,0.56,0.16,0.46,0.68,0.73,9.758654401207335e6
0.14,0.41,0.75,0.55,0.36,0.26,0.38,0.66,9.541161176095493e6
0.53,0.08,0.05,0.85,0.07,0.67,0.85,0.86,9.46535043813195e6
0.02,0.35,0.23,0.1,0.84,0.23,0.82,0.44,9.532028568321109e6
0.36,0.62,0.91,0.43,0.73,0.55,0.33,0.74,9.553192339611938e6
0.47,0.78,0.62,0.49,0.23,0.96,0.52,0.37,9.475412804485457e6
0.5,0.24,0.27,0.98,0.07,0.22,0.03,0.62,9.376090794787483e6
0.65,0.46,0.87,0.06,0.37,0.79,0.1,0.46,9.480541501071976e6
0.19,0.05,0.96,0.93,0.43,0.58,0.8,0.94,9.671329566025017e6
