α_v,α_s,α_v_error,α_s_error,decay,MSE
0.47,0.74,0.07,0.8,0.32,3.1343204936207876e7
0.62,0.37,0.86,0.64,0.11,3.1423665842580933e7
0.25,0.71,0.2,0.71,0.65,3.132834753713283e7
0.83,0.93,0.07,0.04,0.76,3.137746054053209e7
0.82,0.39,0.68,0.72,0.6,3.1447423635283194e7
0.67,0.51,0.86,0.54,0.16,3.1413242074667152e7
0.61,0.03,0.71,0.15,0.41,3.1565365178456016e7
0.18,0.94,0.83,0.35,0.69,3.1345581378782168e7
0.45,0.29,0.86,0.8,0.54,3.141734178001369e7
0.74,0.36,0.81,0.68,0.9,3.144300718628121e7
0.54,0.12,0.26,0.87,0.48,3.1471360181614082e7
0.31,0.21,0.33,0.56,0.66,3.1398944014307346e7
0.55,0.84,0.53,0.79,0.65,3.1369703724875428e7
0.92,0.58,0.69,0.59,0.31,3.144131816862564e7
0.08,0.05,0.16,0.35,0.92,3.15406406616579e7
0.12,0.29,0.79,0.47,0.7,3.1385556984641064e7
0.94,0.43,0.49,0.84,0.55,3.1455897218807217e7
0.7,0.42,0.02,0.62,0.25,3.1398412137065712e7
0.34,0.95,0.85,0.33,0.84,3.1349268635392956e7
0.62,0.06,0.16,0.37,0.98,3.152918454885246e7
0.58,0.74,0.95,0.07,0.2,3.1373750808854558e7
0.96,0.12,0.02,0.93,0.07,3.1509687588823944e7
0.89,1.0,0.5,0.79,0.4,3.1418260137242083e7
0.39,0.84,0.12,0.76,0.84,3.133387250893734e7
0.18,0.47,0.65,0.09,0.97,3.1342366072403893e7
0.75,0.37,0.75,0.58,0.61,3.143893972154874e7
0.98,0.51,0.96,0.86,0.28,3.146857511461836e7
0.96,0.63,0.09,0.51,0.3,3.1422016118943933e7
0.1,0.41,0.74,0.87,0.02,3.137379100152455e7
0.26,0.97,0.01,0.2,0.32,3.131030029587783e7
0.96,0.72,0.87,0.7,0.39,3.1445496782532126e7
0.02,0.11,0.08,0.89,0.53,3.1494856309679206e7
0.1,0.34,0.56,0.94,0.87,3.1378417396726795e7
0.67,0.27,0.53,0.27,0.03,3.1429267631905746e7
0.24,0.59,0.96,0.39,0.87,3.1358968053700645e7
0.98,0.92,0.86,0.21,0.93,3.1429593121475082e7
0.34,0.42,0.12,0.85,0.31,3.135476927546418e7
0.53,0.74,0.43,0.94,0.83,3.136982968939566e7
0.71,0.9,0.19,0.49,0.04,3.1373477032827366e7
0.23,0.3,0.19,0.35,0.16,3.1356474305959597e7
0.43,0.49,0.88,0.95,0.61,3.1391825942329116e7
0.76,0.48,0.88,0.53,0.77,3.1431421172732286e7
0.96,0.94,0.26,0.29,0.73,3.1409000635500208e7
0.28,0.96,0.49,0.93,0.51,3.1352107058029287e7
0.39,0.1,0.78,0.33,0.43,3.1487653930159904e7
0.35,0.14,0.72,0.01,0.15,3.144851366674165e7
0.56,0.99,0.68,0.64,0.28,3.137442648112425e7
0.47,0.19,0.07,0.22,0.25,3.1406284795463204e7
0.26,0.68,0.72,0.05,0.4,3.1331939888169926e7
0.34,0.75,0.35,0.26,0.82,3.1323101853537556e7
0.41,0.24,0.64,0.41,0.02,3.1406628166071393e7
0.9,0.37,0.48,0.9,0.52,3.145813437143735e7
0.36,0.18,1.0,0.03,0.13,3.1436139072276294e7
0.84,0.35,0.31,0.58,0.77,3.1440346247182827e7
0.73,0.76,0.12,0.11,0.62,3.1367489821698364e7
0.43,0.95,0.65,0.74,0.66,3.1359838622849777e7
0.59,0.75,0.2,0.52,0.04,3.1357430936164536e7
0.63,0.06,0.78,0.19,0.75,3.154123527580552e7
0.47,0.57,0.91,0.68,0.44,3.1383001981720537e7
1.0,0.42,0.88,0.95,0.47,3.147810013980103e7
0.43,0.78,0.75,0.18,0.43,3.1345777909883786e7
0.35,0.21,0.25,0.88,0.99,3.140611615840855e7
0.29,0.21,0.2,0.45,0.01,3.13898449962948e7
0.71,0.86,0.42,0.29,0.09,3.1376668480442688e7
0.72,0.28,0.55,0.58,0.5,3.144183104970928e7
0.52,0.27,0.97,0.49,0.88,3.142784280284898e7
0.24,0.57,0.92,0.49,0.31,3.136139315432647e7
0.01,0.79,0.54,0.61,0.44,3.130329451672536e7
0.01,1.0,0.03,0.42,0.02,3.136502552303042e7
0.24,0.67,0.4,0.63,0.71,3.1335162097851258e7
0.45,0.99,0.18,0.01,0.63,3.132470384898916e7
0.65,0.21,0.44,0.84,0.15,3.1449701286870833e7
0.83,0.14,0.61,0.69,0.48,3.15012123916759e7
0.29,0.69,0.62,0.17,0.16,3.1331424479409773e7
0.53,0.11,1.0,0.38,0.88,3.1496652553840578e7
0.67,0.53,0.18,0.85,0.33,3.139339115270192e7
0.99,0.04,0.78,0.02,0.38,3.156571810156889e7
0.46,0.81,0.1,0.52,0.91,3.133280520221176e7
0.48,0.85,0.5,0.44,0.1,3.1348383361255694e7
0.13,0.9,0.98,0.89,0.05,3.1367116186973993e7
0.83,0.85,0.34,0.99,0.18,3.1410895060695507e7
0.3,0.76,0.89,0.66,0.31,3.135790875323349e7
0.48,0.77,0.59,0.03,0.31,3.1341129773776207e7
0.88,0.71,0.23,0.39,0.54,3.1406340475739937e7
0.92,0.95,0.41,0.68,0.13,3.141681397928556e7
0.18,0.95,0.37,0.47,0.34,3.133052493339631e7
0.36,0.17,0.08,0.86,0.09,3.141669699763544e7
0.86,0.66,0.82,0.18,0.52,3.142249413754334e7
0.8,0.91,0.38,0.19,0.81,3.138688480424631e7
0.37,0.08,0.62,0.61,0.52,3.1504005361126352e7
0.86,1.0,0.68,0.45,0.61,3.1412333225191858e7
0.16,0.31,0.81,0.99,0.25,3.1401120273734264e7
0.27,0.45,0.98,0.89,0.72,3.1388610605354168e7
0.24,0.4,0.81,0.93,0.63,3.138685344326449e7
0.09,0.58,0.49,0.74,0.81,3.134268383705595e7
0.94,0.25,0.15,0.96,0.89,3.147258805572337e7
