stimPosit,correction,hand,RT,congruency,trial_index,respPosit,prop,condition,error_outlier,postError,nblock,nblock_1,nblock_2,nblock_3,nblock_4,nblock_5,nblock_6,nblock_7,nblock_8,nblock_9,nblock_10,nblock_11,nblock_12,nblock_13,nblock_14
0,1,0,389.4,1,239,0,80,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,394.1,1,240,1,80,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,1,505,1,241,1,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,544,0,242,0,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,583,0,243,1,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,1,587.9,1,244,1,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1,0,457,0,245,0,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,599.9,0,246,1,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,974.9,0,247,1,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,515.9,0,248,1,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,1002.9,0,249,1,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,497.9,0,250,1,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,1,1,528.8,0,251,1,20,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0
