alpha,alpha_CCC,CCC,decay,corr_value,corr,corr_p,AIC,AIC_rl
0.9,0.39,0.74,0.07,-0.248353738,0.248353738,5.83E-15,11468.84589,11470.84589
0.6,0.29,0.52,0.47,-0.248252908,0.248252908,5.98E-15,11468.89711,11470.89711
0.29,0.82,0.23,0.26,-0.248205283,0.248205283,6.06E-15,11468.9213,11470.9213
0.91,0.49,0.67,0.3,-0.248198056,0.248198056,6.07E-15,11468.92497,11470.92497
0.42,0.94,0.52,0.24,-0.248053012,0.248053012,6.30E-15,11468.9986,11470.9986
0.3,0.11,0.42,0.42,-0.247993306,0.247993306,6.40E-15,11469.0289,11471.0289
0.95,0.86,0.2,0.39,-0.247942155,0.247942155,6.48E-15,11469.05485,11471.05485
0.9,0.59,0.87,0.24,-0.247712438,0.247712438,6.87E-15,11469.17131,11471.17131
0.15,0.14,0.96,0.43,-0.247694395,0.247694395,6.91E-15,11469.18045,11471.18045
0.85,0.65,0.22,0.54,-0.247602485,0.247602485,7.07E-15,11469.22701,11471.22701
0.51,0.51,0.72,0.56,-0.247549046,0.247549046,7.17E-15,11469.25407,11471.25407
0.94,0.33,0.64,0.12,-0.247472643,0.247472643,7.31E-15,11469.29275,11471.29275
0.19,0.27,0.4,0.05,-0.247401422,0.247401422,7.45E-15,11469.32879,11471.32879
0.45,0.11,0.41,0.22,-0.247401258,0.247401258,7.45E-15,11469.32887,11471.32887
0.68,0.21,0.54,0.14,-0.247336727,0.247336727,7.57E-15,11469.36152,11471.36152
0.6,0.49,0.63,0.51,-0.247294627,0.247294627,7.65E-15,11469.38281,11471.38281
0.39,0.43,0.53,0.57,-0.247249367,0.247249367,7.74E-15,11469.4057,11471.4057
0.67,0.21,0.47,0.16,-0.24722655,0.24722655,7.79E-15,11469.41723,11471.41723
0.7,0.26,0.61,0.39,-0.247047243,0.247047243,8.15E-15,11469.50785,11471.50785
0.89,0.25,0.39,0.53,-0.246963866,0.246963866,8.33E-15,11469.54996,11471.54996
0.77,0.47,0.54,0.49,-0.246886144,0.246886144,8.50E-15,11469.5892,11471.5892
0.97,0.41,0.55,0.08,-0.246582897,0.246582897,9.18E-15,11469.74217,11471.74217
0.83,0.93,0.51,0.26,-0.246530344,0.246530344,9.30E-15,11469.76866,11471.76866
0.81,0.84,0.4,0.43,-0.246497176,0.246497176,9.38E-15,11469.78537,11471.78537
0.12,0.51,0.9,0.23,-0.246475789,0.246475789,9.44E-15,11469.79615,11471.79615
0.96,0.61,0.84,0.02,-0.246425945,0.246425945,9.56E-15,11469.82126,11471.82126
0.14,0.43,0.98,0.18,-0.246207076,0.246207076,1.01E-14,11469.93146,11471.93146
0.36,0.36,0.56,0.57,-0.246090864,0.246090864,1.04E-14,11469.98992,11471.98992
0.17,0.22,0.45,0.49,-0.246030873,0.246030873,1.06E-14,11470.02009,11472.02009
